,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14
hand waving,1.0,0.9401709401709402,0.905982905982906,0.9487179487179487,0.9914529914529915,0.9658119658119658,1.0,1.0,1.0,0.9658119658119658,0.9914529914529915,1.0,0.9487179487179487,1.0,1.0,0.9316239316239316,1.0,1.0,0.9829059829059829,1.0
keyboard typing,0.9487179487179487,0.5555555555555556,0.811965811965812,0.9829059829059829,0.9658119658119658,0.9401709401709402,0.9914529914529915,0.8803418803418803,0.9743589743589743,0.8547008547008547,0.9829059829059829,0.9401709401709402,0.7606837606837606,0.8974358974358975,0.6324786324786325,0.7692307692307693,0.9401709401709402,0.6837606837606838,0.7008547008547008,0.9572649572649573
texting,0.8974358974358975,0.8632478632478633,0.11965811965811966,1.0,0.9145299145299145,0.9230769230769231,1.0,0.9829059829059829,0.9914529914529915,0.9829059829059829,0.9743589743589743,0.9658119658119658,0.9743589743589743,0.9572649572649573,0.9401709401709402,0.8974358974358975,0.9829059829059829,0.9658119658119658,0.8205128205128205,0.9914529914529915
writing,0.811965811965812,0.5299145299145299,0.23076923076923078,0.9658119658119658,0.7692307692307693,0.8376068376068376,0.9829059829059829,0.9487179487179487,0.3418803418803419,0.6495726495726496,0.9401709401709402,0.7777777777777778,0.8632478632478633,0.8290598290598291,0.1623931623931624,0.9658119658119658,0.5897435897435898,0.9230769230769231,0.9401709401709402,0.7863247863247863
tapping,1.0,0.9743589743589743,0.9743589743589743,0.6068376068376068,0.9914529914529915,0.8547008547008547,0.9829059829059829,1.0,1.0,0.0,0.9743589743589743,0.8205128205128205,1.0,0.9914529914529915,0.20512820512820512,0.9829059829059829,0.13675213675213677,0.9914529914529915,0.29914529914529914,0.9743589743589743
air scratch,0.9914529914529915,0.9230769230769231,0.9316239316239316,0.7606837606837606,0.9658119658119658,0.9145299145299145,0.9401709401709402,0.7350427350427351,0.6666666666666666,0.9743589743589743,0.7350427350427351,0.9658119658119658,0.9401709401709402,0.9572649572649573,0.9914529914529915,0.9572649572649573,0.9401709401709402,0.905982905982906,0.9829059829059829,1.0
clapping,1.0,1.0,0.9914529914529915,0.8547008547008547,1.0,1.0,1.0,1.0,1.0,1.0,0.9914529914529915,1.0,0.7863247863247863,1.0,1.0,1.0,1.0,1.0,1.0,1.0
top of hand,0.8888888888888888,0.8547008547008547,0.9230769230769231,0.6581196581196581,0.9316239316239316,0.9658119658119658,0.8888888888888888,0.7948717948717948,0.9230769230769231,0.8974358974358975,0.8888888888888888,0.9914529914529915,0.9914529914529915,0.9743589743589743,0.8974358974358975,0.8290598290598291,0.5811965811965812,0.7692307692307693,0.8376068376068376,0.9145299145299145
forearm/wrist,0.9658119658119658,0.9230769230769231,0.9914529914529915,0.6410256410256411,0.8888888888888888,0.9145299145299145,1.0,0.9914529914529915,0.9829059829059829,1.0,0.9914529914529915,0.905982905982906,1.0,1.0,0.9487179487179487,0.9145299145299145,0.5726495726495726,1.0,0.9829059829059829,0.36752136752136755
inside elbow,0.905982905982906,0.9743589743589743,0.9230769230769231,0.6068376068376068,0.9401709401709402,0.8376068376068376,0.9829059829059829,1.0,0.9743589743589743,0.48717948717948717,0.9914529914529915,0.9829059829059829,1.0,1.0,0.905982905982906,0.9658119658119658,0.7521367521367521,0.9401709401709402,0.9914529914529915,0.7777777777777778
neck,0.8632478632478633,0.8632478632478633,0.9487179487179487,0.9658119658119658,0.9829059829059829,1.0,1.0,0.9658119658119658,0.9914529914529915,0.8717948717948718,0.9658119658119658,0.9487179487179487,0.9572649572649573,0.9743589743589743,1.0,1.0,1.0,0.8717948717948718,0.7264957264957265,0.4358974358974359
head,0.9487179487179487,0.9743589743589743,0.9401709401709402,0.6068376068376068,0.9487179487179487,0.8888888888888888,0.8974358974358975,0.9743589743589743,0.8632478632478633,1.0,0.8547008547008547,0.9743589743589743,0.9401709401709402,1.0,1.0,0.9316239316239316,0.9230769230769231,0.8632478632478633,0.8205128205128205,0.717948717948718
behind knees,1.0,0.9658119658119658,1.0,0.9743589743589743,0.9743589743589743,1.0,1.0,0.9914529914529915,0.9914529914529915,1.0,1.0,1.0,1.0,1.0,0.7521367521367521,0.9914529914529915,0.9658119658119658,0.9914529914529915,0.9230769230769231,0.8290598290598291
ankles,0.9829059829059829,1.0,1.0,1.0,0.9572649572649573,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,0.7692307692307693,1.0,1.0,0.9829059829059829,1.0,0.8290598290598291
